Wall time,Step,Value
1719324520.4226654,5900,1.7146555185317993
1719324520.6766195,6000,1.6904035806655884
1719324520.9255383,6100,1.651684045791626
1719324521.1813977,6200,1.686718225479126
1719324521.4277673,6300,1.7461318969726562
1719324521.6887925,6400,1.642243504524231
1719324522.6029434,6500,1.6714838743209839
1719324522.8539786,6600,1.6392713785171509
1719324523.1025467,6700,1.6467047929763794
1719324523.3613486,6800,1.7850351333618164
1719324523.6365027,6900,1.6982855796813965
1719324523.8887694,7000,1.6690478324890137
1719324524.150305,7100,1.6772829294204712
1719324524.4061823,7200,1.7231903076171875
1719324525.3219314,7300,1.714847207069397
1719324525.5763931,7400,1.621965765953064
1719324525.8307858,7500,1.634222388267517
1719324526.084785,7600,1.720776915550232
1719324526.3394582,7700,1.7088087797164917
1719324526.5924854,7800,1.661481261253357
1719324526.846598,7900,1.7286062240600586
1719324527.0954783,8000,1.673374056816101
1719324528.0311303,8100,1.6512348651885986
1719324528.2986116,8200,1.6981492042541504
1719324528.5793872,8300,1.6530205011367798
1719324528.8281038,8400,1.6175657510757446
1719324529.0838592,8500,1.7410774230957031
1719324529.332566,8600,1.6663322448730469
1719324529.5897694,8700,1.733919382095337
1719324529.8436372,8800,1.6246169805526733
1719324530.7614195,8900,1.6797245740890503
1719324531.0218163,9000,1.5909368991851807
1719324531.2807195,9100,1.6981935501098633
1719324531.5378735,9200,1.6192904710769653
1719324531.794571,9300,1.6539472341537476
1719324532.0494258,9400,1.7327892780303955
1719324532.3027878,9500,1.6701562404632568
1719324532.5700405,9600,1.6707996129989624
1719324533.6843975,9700,1.6719805002212524
1719324533.972525,9800,1.698201060295105
1719324534.2874656,9900,1.648624300956726
1719324534.6104484,10000,1.5689435005187988
1719324534.9347658,10100,1.7441600561141968
1719324535.2707846,10200,1.690399408340454
1719324535.5753293,10300,1.6244165897369385
1719324535.8933682,10400,1.754280924797058
1719324537.0666416,10500,1.638461947441101
1719324537.3368495,10600,1.7657716274261475
1719324537.62262,10700,1.6798415184020996
1719324537.8908384,10800,1.6589865684509277
1719324538.185857,10900,1.6882818937301636
1719324538.4737208,11000,1.6701936721801758
1719324538.7546165,11100,1.6462798118591309
1719324539.0183117,11200,1.65029776096344
1719324539.9572997,11300,1.5850977897644043
1719324540.225879,11400,1.811880111694336
1719324540.4721496,11500,1.642074704170227
1719324540.7454498,11600,1.7045793533325195
1719324541.0351636,11700,1.711466908454895
1719324541.2951632,11800,1.679341197013855
1719324541.577805,11900,1.6633830070495605
1719324541.8378208,12000,1.631108045578003
1719324542.839677,12100,1.6617929935455322
1719324543.1322415,12200,1.7005350589752197
1719324543.4223762,12300,1.7238762378692627
1719324543.722344,12400,1.6035828590393066
1719324544.0942366,12500,1.612305998802185
1719324544.4221435,12600,1.7144079208374023
1719324544.6945446,12700,1.6812264919281006
1719324544.9570706,12800,1.67818284034729
1719324545.9724898,12900,1.6574687957763672
1719324546.2650023,13000,1.6821871995925903
1719324546.5607193,13100,1.7265726327896118
1719324546.8226442,13200,1.638384222984314
1719324547.1023443,13300,1.6685701608657837
1719324547.4148846,13400,1.6713422536849976
1719324547.7163062,13500,1.6948095560073853
1719324547.9831007,13600,1.6153086423873901
1719324548.9294233,13700,1.6728546619415283
1719324549.1868527,13800,1.6265273094177246
1719324549.456778,13900,1.7152739763259888
1719324549.7983744,14000,1.7225674390792847
1719324550.1453025,14100,1.7236708402633667
1719324550.4215791,14200,1.7191426753997803
1719324550.7044725,14300,1.6700774431228638
1719324550.983171,14400,1.6373426914215088
1719324551.9308977,14500,1.6984704732894897
1719324552.1902363,14600,1.6559640169143677
1719324552.453725,14700,1.7072380781173706
1719324552.708583,14800,1.6488372087478638
1719324552.954603,14900,1.6910345554351807
1719324553.2029161,15000,1.6825461387634277
1719324553.452091,15100,1.579649567604065
1719324553.7105887,15200,1.698509693145752
1719324554.7535636,15300,1.6085209846496582
1719324555.001694,15400,1.7266168594360352
1719324555.2555287,15500,1.6584935188293457
1719324555.505489,15600,1.6778396368026733
1719324555.7534077,15700,1.6287922859191895
1719324556.0128791,15800,1.6125777959823608
1719324556.2588391,15900,1.7154462337493896
1719324556.5420492,16000,1.641770839691162
